,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
1,-5.535864267,-2.963817556,5.162445948,0.00582,0.02211,-0.02094,3
2,-4.964445316,-1.443028372,6.952056149,0.0128,-0.00116,-0.00931,3
3,-4.611234379,-0.417225669,7.638847864,0.10239,-0.00465,-0.00233,3
4,-4.4234152,0.233730471,7.574763603,0.21176,-0.01047,-0.00349,3
5,-4.356499462,0.6092881,7.039628592,0.37116,-0.02094,0.00814,3
6,-4.373583012,0.790388005,6.251051591,0.65622,-0.03723,0.01745,3
7,-4.44452609,0.841977493,5.373092164,0.87962,-0.05469,0.02909,3
8,-4.545237414,0.814962576,4.524715477,1.01924,-0.05469,0.02909,3
9,-4.656996164,0.748183851,3.786903589,0.81446,-0.15358,-0.06981,3
10,-4.765776145,0.670180924,3.209556325,-0.1245,-0.03258,-0.06632,3
11,-4.861660687,0.600793871,2.817295627,-0.24318,-0.02211,-0.1338,3
12,-4.938226344,0.552661458,2.615021794,0.05469,0.0605,-0.10355,3
13,-4.992023235,0.532537611,2.592529465,0.04538,0.01862,0.03025,3
14,-5.022058645,0.542499776,2.728725623,-0.0477,-0.0477,-0.02211,3
15,-5.02932014,0.58102292,2.995232798,-0.00931,-0.00465,-0.0128,3
16,-5.016341716,0.643930965,3.35948749,0.00349,0.00349,-0.00814,3
17,-4.986798601,0.72523339,3.787343814,0.00233,-0.00116,-0.00465,3
18,-4.945140541,0.817848418,4.245209322,0.00931,0.00233,-0.00814,3
19,-4.896256107,0.914229245,4.701792446,-0.00465,0.00116,-0.01047,3
20,-4.845176266,1.006880146,5.129398467,0.00116,-0.00116,-0.00814,3
21,-4.796807162,1.088790512,5.504916536,-0.00349,0,-0.01047,3
22,-4.755700929,1.153773326,5.81043511,0.00116,-0.00116,-0.00582,3
23,-4.725857205,1.196727635,6.03358277,0.00233,0.00116,-0.00814,3
24,-4.710560217,1.213821614,6.167583311,-0.00233,0,-0.00931,3
25,-4.71224825,1.202607104,6.211080035,0.00349,-0.00116,-0.00814,3
26,-4.732416333,1.162069571,6.167751833,0.00349,0,-0.00814,3
27,-4.771551898,1.09261918,6.045753798,0,0,-0.00814,3
28,-4.829102863,0.996029453,5.857013989,0,0,-0.00814,3
29,-5.135962467,0.798889081,5.515514203,0.00465,0.00233,-0.00931,3
30,-5.364634278,0.695962924,5.40903691,-0.00116,0,-0.00931,3
31,-5.59956099,0.554993128,5.146382864,0.00116,0.00233,-0.00931,3
32,-5.463879288,0.45219465,4.784839807,0.00698,0.00465,-0.00931,3
33,-5.532049596,0.236734451,4.914084891,0.00698,0.00465,-0.00698,3
34,-5.570657663,0.11710044,4.723293633,-0.00116,0,-0.01047,3
35,-5.478933826,0.080434411,4.118843893,-0.00465,-0.00582,-0.01047,3
36,-5.445643301,-0.210753895,4.308008558,0.00233,0,-0.00931,3
37,-5.380456642,-0.415669066,4.271504422,-0.00349,-0.00465,-0.01047,3
