,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
1,0.677308722,-2.015115592,9.639413268,-0.06981,-0.05003,-0.00465,3
2,-0.197527216,0.009850451,9.656231552,-0.01862,-0.00814,-0.01164,3
3,-0.7964513,1.146879655,9.909228095,0.04189,0.03142,-0.01978,3
4,-1.165240281,1.642725929,10.27521053,0.07912,0.0605,-0.03607,3
5,-1.346950827,1.697384994,10.66514137,0.05003,0.03025,-0.02676,3
6,-1.381446771,1.469959784,11.0182099,-0.01164,-0.01047,-0.01047,3
7,-1.305262502,1.084260192,11.29688528,-0.0128,-0.00931,-0.00931,3
8,-1.151360467,0.633896099,11.48211525,0.00814,0.00931,-0.01629,3
9,-0.949001079,0.186795249,11.56932211,0.0256,0.01164,-0.01978,3
10,-0.723710458,-0.210495495,11.56472125,-0.01629,-0.01047,-0.00582,3
11,-0.49721191,-0.529141071,11.48217169,-0.00349,-0.00465,-0.0128,3
12,-0.287543842,-0.754475877,11.34044194,0.01164,0.00931,-0.01629,3
13,-0.109101264,-0.883049663,11.16088567,0.03258,0.02211,-0.02094,3
14,0.027214397,-0.919899914,10.9654959,-0.02909,-0.02094,-0.00698,3
15,0.11380291,-0.876180125,10.77534752,-0.05119,-0.02676,-0.00116,3
16,0.146167627,-0.767115145,10.60933695,-0.00349,-0.00349,-0.01513,3
17,0.122663055,-0.610238891,10.48325919,0.03491,0.02909,-0.01745,3
18,0.044226787,-0.423920379,10.40916147,0.0256,0.01513,-0.01745,3
19,-0.085917234,-0.226134426,10.39495035,-0.0384,-0.02909,-0.00349,3
20,-0.262565228,-0.033497887,10.44424453,0,0.00465,-0.01164,3
21,-0.478863759,0.139490713,10.55642938,0.00582,0.00349,-0.01513,3
22,-0.726637792,0.280986791,10.72689722,-0.00814,0.00233,-0.01047,3
23,-0.996734365,0.382156431,10.94745022,-0.01047,-0.00582,-0.01396,3
24,-1.279358138,0.437352702,11.20683371,0.01047,0.00931,-0.01629,3
25,-1.56440668,0.444139856,11.49138055,0.03723,0.02327,-0.02211,3
26,-1.841795374,0.403179012,11.78573804,-0.01513,-0.01629,-0.01164,3
27,-2.101772075,0.317993222,12.07365667,-0.04072,-0.01862,-0.01047,3
28,-2.335210351,0.194630034,12.33880844,0.03025,0.02094,-0.0256,3
29,-2.493366141,-0.008136166,12.47823144,0.06865,0.04654,-0.03025,3
30,-2.574159356,-0.304870657,12.68203876,0.03491,0.02211,-0.02327,3
